,text
51,"['couldnt', 'find', 'ver', 'tape', 'still', 'look']"
52,"['plan', 'jog', 'sunbathe', 'read', 'book']"
53,"['find', 'headlight', 'last', 'night', 'thanks', 'encore', 'ad', 'ticket', 'though']"
54,"['happens', 'every']"
55,"['cool', 'mine', 'great', 'thanks', 'brilliant', 'weekend', 'honey', 'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx']"
56,"['chart', 'edit', 'microdot', 'powerpoint', 'register', 'asap']"
57,"['thats', 'awesome', 'bad', 'cant', 'make', 'others', 'either']"
58,"['gon', 'na', 'wash', 'clothes', 'hang', 'lazy', 'enjoy']"
59,"['tech', 'conclave', 'episode', '4', '85', 'sorry', 'delay', 'everyone']"
60,"['haha', 'find', 'two', 'player', 'three', 'although', 'four', 'one', 'broke']"
61,"['dammit', 'wish', 'doubt', 'play', 'blink', 'would', 'epic', 'tour', 'ive', 'never', 'see', 'live']"
62,"['aww', 'whats', 'wrong']"
63,"['ugh', ""head'll"", 'stop', 'talkin']"
64,"['eww', 'delaware', 'weather', 'bipolar']"
65,"['unfortunately', 'corny', 'joke', 'stash', 'daughter', 'think', 'hilarious']"
66,"['ugh', 'catch', 'britney']"
67,"['someone', 'fuck']"
68,"['learn', 'tweet', 'wan', 'na', 'send', 'message', '2', 'pal']"
69,"['1', 'month', 'sell', '400']"
70,"['lost', 'le', 'pound', 'boo']"
71,"['right', ""now's"", 'safe', 'sayi', 'cant', 'escape', 'account', 'forced', 'upon']"
72,['cheesecake']
73,"['personally', 'use', 'turn', 'growl', 'notification', 'back', 'mainly', 'reason', 'kinda', 'happy', 'bout', 'since']"
74,"['sambuca', 'north', 'end', 'black']"
75,"['sadly', 'think', 'wan', 'na', 'thing', 'wan', 'na', 'brain', 'ink']"
76,"['lovely', 'denim', 'pissed']"
77,"[""that's"", 'really', 'sux']"
78,"['hate', 'people', 'yell', 'thing', 'unnecessary']"
79,"['awake', 'ready', 'tire', 'stomach', 'feel', 'bit', 'well', 'still', 'hurt', 'quite', 'bit']"
80,"['ok', 'zucchini', 'wont', 'grow', 'much', 'rain', 'tho']"
81,"['congrats', 'spymaster', 'achievement', 'hate', 'invite', 'join', 'spy', 'ring', 'green', 'tea', 'offer', 'anda']"
82,"['help', 'build', 'portfolio', 'time', 'ideal', 'source', 'make', 'money', 'time', 'slow', 'right']"
83,"['know', 'danielle', 'great', 'job']"
84,"['french', 'test', 'funny', 'german', 'con', 'whats', 'oo', 'positively', 'shocked', 'second', 'time']"
85,"['cape', 'excite', 'feel', 'right', 'without', 'come', 'back', 'solomon', 'please']"
86,"['sound', 'pretty', 'excite']"
87,"['cant', 'believe', 'sunday', 'man', 'blasphemous']"
88,"['nice', 'outside', ""here's"", 'stick', 'pa']"
89,"['hey', 'lol', 'time', 'study']"
90,"['make', 'sad', 'typically', 'everyone', 'want', 'buy', 'favourite', 'album', 'nobody', 'want', 'david', 'gray', 'album']"
91,"['feel', 'replaced']"
92,"['watch', 'end', 'season', '4', 'youll', 'see', 'think', 'need', 'rematch', 'season']"
93,"['sister', 'prayer', 'warrior', 'fam', 'need', 'tell', 'put', 'call']"
94,"['happy', 'mother', 'celebrate', '12158', 'fol']"
95,"['bonk', 'chick', 'head', 'club', 'drag', 'home', 'wouldve', 'never', 'style', 'caveman', 'awesome']"
96,"['anyone', 'want', 'give', 'free', 'laptop', 'computer', 'really', 'broken']"
97,['mess']
98,"['ya', 'post', 'want', 'well']"
99,['beautiful']
100,"['night', 'okay', 'really', 'nothing', 'say']"
101,"['pack', 'experience', 'ever', 'twitter', 'instead', 'pack', 'ok']"
102,"['come', 'ah', 'feel', 'well']"
103,"['end', 'concert', 'amaze', 'glad', 'hear', 'gutted', 'couldnt', 'maybe', 'next', 'tym', 'new', 'ad', 'awesome', 'guy']"
104,"['stink', 'booze']"
105,"['likelihood', 'low']"
106,"['back', 'dentist', 'cheek', 'teeth', 'hurt']"
107,"['nice', 'see', 'partner', 'drama', 'queen', 'partner', 'miss', 'panda']"
108,"['added', 'sugar', 'alien', 'ummm', 'amaze', 'difference', 'sugar', 'make', 'think', 'raisin', 'left']"
109,"['listen', 'music', 'jonas', 'jonas', 'brothers', 'pity', ""can't"", 'concert']"
110,"['know', 'would', 'survive', 'without', 'girl']"
111,"['miss', 'hush', 'sound', 'dear']"
112,"['cold', 'right', 'live', 'chicago', 'glad', 'home', 'warm', 'sunny', 'weekend']"
113,"['internet', 'connection', 'slow', 'tonight', 'outrage', 'hungry']"
114,"['wake', 'message', 'snake', 'pretty', 'upset']"
115,"['maybe', 'leave', 'treat', 'visit', 'state', 'dumb', 'pancakes', 'fly', 'america']"
116,"['da', 'first', 'one', 'air', 'uni', 'story', 'tell', 'becky', 'leave']"
117,"['2', 'bed', 'since', 'night', 'yall']"
118,"['hey', 'thanx', 'follow', 'look', 'forward', 'ur', 'tweet']"
119,"['thanks', 'lot', 'insomnia', 'anyways', 'whats', 'bug', 'deal', 'laker', 'ud', 'think', 'riot', 'bout']"
120,"['last', 'one']"
121,"['think', 'may', 'er', 'today']"
122,"['whoa', 'even', 'think', 'could', 'great', 'tip', 'think', 'iv', 'need', 'come', 'rescue', 'ever']"
123,"['motion', 'city', 'soundtrack', 'new', 'album', 'cant', 'wait']"
124,"['sorry', 'hear', 'boy', 'sick', 'want', 'look', 'phrase', 'stamp', 'cheap', 'price']"
125,"['miss', 'jordan', 'hope', 'great', 'time', 'hope', 'enjoy', 'birthday']"
126,"['help', '1000', 'fan', 'facebook', 'pick', 'direct', 'link']"
127,"['switch', 'button', 'button', 'cover', 'miss', 'hole', 'really', 'tiny', 'ugh']"
128,"['duly', 'note']"
129,"['new', 'twitter']"
130,"['le', 'help', 'reply', 'would', 'make']"
131,"['think', 'right', 'tho', 'try', 'download', 'file', 'skip', 'take', '47', 'second', 'load']"
132,"['cant', 'wait', 'see', 'guy', 'tomorrow', 'spring', 'jam', 'ill', 'tweet']"
133,"['want', 'nothing', 'interesting', 'happen', 'right', 'anyone', 'pineapple', 'express', 'tire', 'dev', 'commercial']"
134,"['yeah', 'everyone', 'seem', 'nether', 'better', 'one', 'mum', 'lol', 'lad', 'haha', 'ex']"
135,"['top', 'banana', 'whats', 'battle', 'royale', 'anything', 'film']"
136,"['hate', 'freak', 'accident', 'especially', 'something', 'broken']"
137,"['hill', 'alive', 'hope', 'otherwise', 'great', 'mind', 'think', 'alike']"
138,"['okay', 'pretty', 'pointless', 'tbe', 'sit', 'outside', 'vito']"
139,"['jonas', 'brother', 'jordan', 'spark', 'miley', 'cyrus', 'one', 'show', 'brazil']"
140,"['really', 'joes', 'favorite', 'soooo', 'soooo', 'hot']"
141,"['even', 'cherry', 'top', 'make', 'night', 'well']"
142,"['god', 'prince', 'news']"
143,"['fun', 'random', 'night', 'aside', 'popcorn', 'upset', 'stomach', 'really', 'need', 'night', 'often']"
144,"['insomnia', 'beast', 'night', 'mob', 'tour', 'almost', 'cali', 'cant', 'wait', 'nite', 'nite']"
145,"['thank', 'girl', 'friday', 'miss', 'guy', 'already']"
146,"['want', 'among', 'mad', 'people']"
147,"['step', 'away', 'tell', 'might', 'miss']"
148,"['yes', 'maam']"
149,"['thanks', 'hope', 'school', 'last', 'shes', 'miss', 'fun', 'stuff', 'though']"
150,"['one', 'andy', 'amber', 'genious']"
151,"['version', 'iphone', 'software', '221', 'current', 'version', 'come']"
152,"['really', 'nice', 'people', 'amaze', 'patience', 'reply', 'message', 'bow']"
153,"['ebay', 'invoice', 'last', 'month', 'book']"
154,[]
155,"['apparently', 'cant', 'direct', 'message', 'first']"
156,"['bank', 'lunch', 'target']"
157,"['haha', 'neither', 'cheap']"
158,['thanks']
159,"['car', 'shop', 'new', 'catalytic', 'converter']"
160,"['heard', 'hurt']"
161,"['havent', 'couple', 'year']"
162,"['damn', 'havent', 'twitter', 'hella', 'ready', 'take', 'lil', 'bro', 'camp', 'excite']"
163,"['soon', 'two', 'nappy', 'come', 'tonight', 'box']"
164,"['yes', 'year', 'ago']"
165,"['haha', 'last', 'exam', 'wednesday', 'knoww', 'soon', 'miss', 'band', 'still', 'see', 'matt']"
166,"['britney', 'come', '2', 'sept', 'want', 'ticket', '1', 'though']"
167,"['talk', 'phone', '530', 'morning', 'refreshing']"
168,"['suppose', 'tea', 'peninsula', 'sister', 'flip', 'flop', 'pas', 'dress', 'code']"
169,"['enjoy', 'enjoy', 'time', 'million', 'dream', 'last', 'might', 'move', 'florida', 'would', 'never', 'see']"
170,"['instrumental', 'tool', 'blink', 'song']"
171,"['sorry', 'want', 'dig', 'maybe', 'youll']"
172,['power']
173,"['adalah', 'ready', 'say', 'goodbye', 'maybe', 'ill', 'check', 'earlier', 'visit', 'internet', 'likely', 'forget']"
174,"['maria', 'daily', 'always']"
175,"['saw', 'bunch', 'old', 'miss']"
176,"['change', 'homepage', 'google', 'bing', 'soooo', 'soooo', 'many', 'year']"
177,"['last', 'minute', 'pack', 'pride', 'prejudice', 'zombie', 'family', 'puto', 'want', 'book', 'expensive']"
178,"['showered', 'dress']"
179,"['would', 'definitely', 'paint', 'new', 'hardware']"
180,"['yes', 'sit', 'next', 'one', 'lol']"
181,['schoolmate']
182,"['wont', 'tell', 'cheat', 'lol']"
183,"['break', 'turn', 'ac', 'cry', 'electric', 'bill', 'come', 'spend', 'much', 'alaska']"
184,"['crave', 'golden', 'chick', 'hop', 'charlies', 'chicken', 'definitely']"
185,"['sorry', 'want', 'online', 'miss', 'lover', 'quarrel']"
186,"['aww', 'yur', 'awesome', 'mother', 'keep']"
187,['miss']
188,"['yeah', 'registry', 'national', 'one', 'phone', 'pull', 'site', 'enter', 'number']"
189,"['head', 'va', 'beach', 'free', 'nig']"
190,"['glad', 'well', 'sorry', 'could', 'stay', 'hope', 'try', 'sleep']"
191,"['play', 'guitar', 'hero', 'need', 'nice', 'try']"
192,"['eff', 'question', 'clue']"
193,"['hungry', 'hell', 'cant', 'eat', 'suck']"
194,"['care', 'harm', 'unborn', 'baby', 'sad']"
195,"['run', 'house']"
196,"['ready', 'move', 'parent', 'piss']"
197,"['wow', 'hannah', 'montana', 'movie', 'amaze']"
198,"['walk', 'back', 'meeting', 'drop', 'phone', 'damage', 'quite', 'heavily', 'take', 'picture']"
199,"['oh', 'bless', 'sure', 'certain', 'someone', 'understate', 'fact']"
200,"['think', 'school', 'ban']"
201,"['everything', 'dream', 'forget', 'forget', 'nick', 'jonas']"
202,"['fridge', 'full', 'footman', 'believe']"
203,"['invite', 'gang']"
204,"['study', 'crazy', 'hope', 'ace', 'exam']"
205,"['oscar', 'cat', 'hat', 'cloth', 'book', 'today', 'rattle', 'squeaky', 'crinkly', 'tab', 'attach', 'rhyming']"
206,"['scar', 'sleep', 'hope', 'bitten']"
207,"['onto', 'sound', 'cool']"
208,"['home', 'city', 'light', 'show', 'yeah']"
209,"['know', 'teaser']"
210,"['yes', 'ist', 'right', 'miley', 'mandy', 'show', 'make', 'last', 'show', 'month', 'ago']"
211,"['yeah', 'sexy', 'last', 'name', 'want', 'lao', 'kid', 'gunna', 'happen']"
212,"['argh', 'cant', 'see', 'short', 'stack']"
213,"['wed', 'cool', 'would', 'great', 'plus', 'need', 'know', 'live', 'lol', 'realize', 'hehe']"
214,"['still', 'two', 'week']"
215,"['plan', 'sleep', 'asap', 'one', 'back', '3', 'yay', '4']"
216,"['watch', 'rain', 'sad']"
217,"['wake', 'another', 'sore', 'throats', 'back', '2', 'bath', 'tub', '4']"
218,"['voice', 'iran', 'shame', 'country', 'foreign', 'embassy', 'safer', 'hospital']"
219,"['aww', 'make', 'correction', 'tell']"
220,"['oh', 'ive', 'see', 'one', 'lao', 'boo']"
221,"['raining', 'gon', 'na', 'pinball', 'fight', 'fly', 'rain', 'ball', 'fight', 'anyone']"
222,[]
223,"['cat', 'pass', 'away', 'today', 'thats', 'really', 'sad', 'today', 'suck', 'believe', 'god']"
224,"['finally', 'feel', 'well', 'feel', 'tha', 'dump', 'maybe', 'due', 'fact', 'ive', 'bed', '48', 'hour']"
225,"['poor', 'jimmy', 'joke', 'appreciate', 'especially', 'subtlety']"
226,"['think', 'fall', 'six']"
227,"['see', 'magazine', 'month']"
228,"['surprisingly', 'well', 'ta', 'lovely', 'question', 'come', 'another', 'alrighty', 'happy', 'jonathan', 'hows', 'cassius']"
229,"['guy', 'play', 'gambit', 'want', 'nearly', 'cute', 'expect', 'gambit', 'childhood', 'crush']"
230,"['great', 'way', 'end', 'night', 'aka', 'laugh']"
231,"['baby', 'need', 'kiss']"
232,"['thinkin', 'twitter', 'really', 'quite', 'born']"
233,"['subway', 'seat', 'obviously', 'make', 'bony', 'people', 'sit', 'long', 'mind', 'ouch']"
234,"['bore', 'lol', '2', 'sweetie']"
235,[]
236,"['look', 'forward', 'follower', '100', 'follower', '14']"
237,"['way', 'spell', 'ur', 'name', 'wrong', 'sound', 'decent', 'idea']"
238,"['really', 'think', 'cold', 'wouldve', '14', 'hour']"
239,"['lose', 'note', 'twitter', 'happen', 'well', 'ive', 'read', 'notting', 'hill', 'script']"
240,"['look', 'nephew', 'right', 'amazing']"
241,"['ouch', 'want', 'today']"
242,"['mat', 'chill', 'australia']"
243,"['extended', 'vacation', 'yippee']"
244,"['hour', 'late', 'better']"
245,"['hello', 'hiro', 'twitter', 'facebook', 'see']"
246,"['think', 'puppy', 'mean', 'glow']"
247,"['flavour', 'also', 'hazelnut', 'chocolate', 'mousse', 'royale']"
248,"['wolverine', 'bub']"
249,"['wouldnt', 'pay', 'upgrade', 'youd', 'free', 'fair', 'fair', 'ya', 'know']"
250,"['roll', 'show', 'tomorrow', 'show', 'wait', 'till', 'tuesday', 'tomorrow']"
251,"['sister', 'geek', 'though']"
252,"['pick', 'outfit', 'soon', 'wont', 'time', 'concert', 'come', 'got', 'ta', 'new', 'fresh']"
253,"['spend', 'nana']"
254,"['check', 'yes', 'celine']"
255,['troubleshoot']
256,"['bad', 'hair']"
257,"['sushi', 'joint', 'light', 'redo', 'white', 'color', 'little', 'spec', 'red', 'bean', 'middle', 'mom', 'mom']"
258,"['aww', 'look', 'motherfucking', 'potus']"
259,"['gra', 'even', 'well', 'birthday', 'round', 'corner', 'week', 'enjoy', 'jo']"
260,"['noooo', 'still', 'today', 'chinese', 'sound', 'awesome', 'right']"
261,"['wake', 'still', 'pretty', 'tired', 'though']"
262,"['steelers', 'play', 'baseball', 'across', 'street', 'bad']"
263,"['want', 'load', 'thisfor', 'know', 'cant']"
264,['hiya']
265,"['hang', 'people', 'whether', 'know', 'ya']"
266,"['remember', 'time', 'say', 'prefer', 'shave', 'wax', 'shave', 'cut', 'chunk', 'ankle', 'skin']"
267,"['exact', 'thing', 'noel', 'confusion', 'stephen', 'hawk', 'confuse', 'justin', 'hawkins']"
268,"['tryin', 'call', 'cant']"
269,"['yesterday', 'gon', 'na', 'pretty', 'damn', 'hard', 'top']"
270,"['sun', 'sun', 'sun', 'revision', 'thanks']"
271,"['brother', 'sister', 'couple', 'year', 'old', 'feel', 'yesterday']"
272,['knight']
273,"['crave', 'radish', 'kimchi', 'wish', 'live', 'korea', 'eat', 'korean', 'food', 'every']"
274,"['sister', 'toilets', 'wobbly', 'better', 'use', 'heather', 'might', 'fall', 'seven']"
275,"['question', 'mark', 'button', 'aint', 'workin', 'properly', 'either', 'want', 'new', 'laptop']"
276,"['pi', 'de', 'ce']"
277,"['would', 'choose', 'twitter', 'pilate', 'also']"
278,"['mood', 'scone']"
279,"['guy', 'australia', 'december', 'birthday']"
280,"['battery', 'life', 'sexy', 'though']"
281,"['reconcile', 'mother', 'cant', 'stay', 'mad']"
282,"['daniel', 'harvey', 'post', 'fav', 'beetle', 'song', 'auto', 'tweet', 'still', 'storm', 'chinatown']"
283,"['probably', 'idea', 'hard', 'tweet', 'web', 'miss', 'cry']"
284,"['watch', 'angel', 'demon', 'free']"
285,"['cant', 'fix', 'anything', 'seem', 'break']"
286,"['lol', 'stupid', 'teacher', 'tell', 'make', 'book', 'kid', 'still', 'page', '4', '20', 'ad', 'eww']"
287,"['true', 'friend', 'heh', 'gon', 'na', 'sleep', 'dream', 'chris', 'pine', 'time', 'time']"
288,"['bore', 'death', 'boom', 'boom', 'pow', 'stick', 'head', 'nothing', 'god', 'save']"
289,"['register', 'e', 'station', 'party', 'mom', 'hot', 'tamale', 'cafe']"
290,"['fuck', 'interesting']"
291,"['longest', 'cant', 'wait', 'able', 'fall', 'asleep', 'tonight']"
292,"['tool', 'road', 'warrior', 'pretty', 'cool', 'please', 'retweet']"
293,"['still', 'want', 'know', 'people', 'lay', 'insurance', 'gon', 'na', 'pay', 'treatment', 'necessary']"
294,"['decide', 'time', 'throw', 'pillow', 'seat', 'one', 'thats', 'soft', 'enough', 'fall', 'asleep']"
295,"['sing', '152', 'bow', 'video', 'funny']"
296,[]
297,"['stop', 'hungry', 'defrost', 'anything']"
298,"['share', 'blog', 'mobile', 'site', 'thanks', 'sandbox']"
299,"['know', 'want', 'give', 'high', 'five', 'funny']"
300,"['gut', 'thank', 'dairy', 'wont', 'regret', 'try', '2', 'week']"
301,['suck']
302,"['close', 'keep', 'bop', 'away', 'north', 'west']"
303,['want']
304,"['lime', 'cranberry', 'juice', 'share', 'one', 'secret', 'cocktail']"
305,"['back', 'pearl', 'hamburger', 'veggie', 'burger', 'yum']"
306,"['wait', 'bus', 'must', 'say', 'chuffed', 'today', 'manicure', 'dress', 'need', 'big', 'ol', 'american', 'car']"
307,"['star', 'ad', 'person']"
308,"['okay', 'ill', 'make', 'agnes', 'baggie']"
309,"['david', 'remind', 'toddler', 'hes', 'cute', 'wan', 'na', 'pinch', 'cheek']"
310,"['report', 'card', 'bad']"
311,"['tweet', 'include', 'longest', 'poem', 'world']"
312,"['late', 'meeting', 'fear', 'ive', 'miss', 'sure', 'ill', 'find', 'something', 'else', 'occupy', 'time', 'communication', 'key']"
313,"['nah', 'mine', 'come', 'july']"
314,"['hit', ""today's"", 'come', 'back', 'another']"
315,"['nba', 'squeeze', 'raft', 'mash', 'match', 'three', 'hour', 'feeling', 'gon', 'na', 'see']"
316,"['yup', 'sport', 'rage', 'come', 'lol', 'atleast', 'score']"
317,['impressed']
318,"['haha', 'peach', 'nut', 'mister', 'ketchup', 'lol']"
319,"['si', 'miss', 'etc', 'bring', 'back', '2', 'booze']"
320,"['wish', 'could', 'london', 'brother', 'tomorrow', 'stupid', 'gas']"
321,"['lol', 'glad', 'add', 'ok']"
322,"['magda', 'mu', 'house', 'ur', 'gon', 'na', 'come', 'visit', 'please', 'come', 'miss']"
323,"['halle', 'today', 'make', 'phone', 'jingle']"
324,"['pretty', 'toe', 'mullah']"
325,"['listen', 'tov', 'archaeology']"
326,"['cool', 'iknow', 'need', 'add']"
327,"['terrible', 'cartoon', 'thats', 'suppose', 'mexican']"
328,"['kind', 'depressed', 'think', 'new', 'transformer', 'movie', 'week', 'next', 'week']"
329,"['bom', 'dia']"
330,"['om', 'library', 'already', 'look', 'plot', 'nap', 'somebody', 'help']"
331,"['dentist', 'wait', 'room', 'nothing', 'quite', 'anticipation', 'pain']"
332,"['awake', 'freaking', 'saturday', 'wanted', 'sleep']"
333,"['nightmare', 'google', 'calender', 'sync', 'window', 'mobile', 'device']"
334,"['today', 'soo', 'hot', 'man', 'fell', 'asleep', 'bros', 'room', 'today', 'onto', 'home', 'school', 'tomorrow', 'equal', 'ice', 'cream', 'crazy']"
335,"['dig', 'last', 'outta', 'garden', 'tonight', 'herb', 'cake', 'squash', 'tomato', 'plant']"
336,"['ugh', 'ive', 'deny', 'many', 'craving', 'red', 'velvet', 'cake', 'nacho']"
337,"['friend', 'visit', 'spend', 'garden', 'rest', 'sunset', 'blanket', 'grass']"
338,['none']
339,"['wireless', 'controller', 'stop']"
340,"['lol', 'fun', 'kidnap', 'hand', 'back', 'yeah', 'kid', 'dead', 'tired']"
341,"['background', 'come']"
342,"['walk', 'high', 'heel', 'joke', 'guess', 'still', 'use', 'cant', 'even', 'walk', 'cab', 'wan', 'chai', 'ex']"
343,"['electricity', 'back', 'need', '4', 'hour', 'sleep', 'per', 'night', 'laugh']"
344,"['suppose', 'beach', 'rain']"
345,"['rogers', 'say', 'call', 'could', 'come', 'back', 'pick', 'call', 'yet']"
346,"['lao', 'woulda', 'chinese', 'food', 'sound', 'yummy']"
347,"['feel', 'hungover', 'tomorrow', 'nighter', 'tonight']"
348,"['break', 'act', 'tip']"
349,"['watch', 'season', 'finale', 'season', '1', 'true', 'blood']"
350,"['thank', 'mind', 'follow']"
351,"['funny', 'lee', 'mack', 'last', 'news', 'tonite']"
352,"['shut', 'emma', 'hit', 'da', 'shower', 'sum', 'sleep', 'later', 'twitter']"
353,"['ayah', 'happy', 'birthday', 'old']"
354,"['lol', 'however', 'might', 'watch', 'kindergarten', 'cop', 'arnie', 'playfulness', 'little', 'kid']"
355,"['cant', 'wait', 'cheat', 'starbucks']"
356,"['cup', 'coffee', 'piece', 'apple', 'square', 'rainy', 'evening']"
357,"['figure', 'new', 'tax']"
358,"['cant', 'wait', 'see', 'purple', 'shoe']"
359,"['still', 'wheeze', 'gon', 'na', 'doctor']"
360,"['check', 'lady', 'look']"
361,"['home', 'lay', 'relax', 'everyone', 'evening']"
362,"['oh', 'sad', 'sorry', 'cant', 'make']"
363,"['try', 'select', 'music', 'track', 'harder', 'look']"
364,"['knoww', 'lol']"
365,"['eek', 'another', 'list', 'make', 'school', 'sport']"
366,"['sooo', 'wan', 'na', 'see', 'review', 'girl', 'may', 'see', 'ad', 'yeah', 'baby']"
367,"['busy', 'need', 'study', 'attend', 'training', 'volleyball', 'competition', 'close', 'really', 'hard', 'balance', 'time']"
368,"['plus', 'twitter', 'hug', 'tour', 'axe']"
369,"['exciting', 'look', 'beautiful', 'cant', 'wait', 'see', 'picture']"
370,"['rave', 'look', 'absolutely', 'ridiculous']"
371,"['thanks', 'totally', 'excite']"
372,"['wow', 'small', 'world', 'need', 'need']"
373,"['4', 'mile', 'around', 'park', 'technical', 'boot', 'vortex', 'successfully', 'kept', 'foot', 'dry', 'rest', 'ment', 'much', 'time', 'hot', 'shower', 'sleep']"
374,"['life', 'norway', 'today', 'lovely', 'weather', 'cant', 'describe', 'hows', 'texas', 'today', 'much', 'clock']"
375,"['happy', 'far', 'nail', 'ankle', 'several', 'bruise', 'leg']"
376,"['duh', 'right']"
377,"['collector', 'item']"
378,"['oh', 'thank', 'thank']"
379,"['dismantle', 'pocket', 'rebellion', 'become', 'powerful']"
380,"['gate', 'man', 'one', 'right', 'ask', 'friend', 'code', 'easy', 'peasy']"
381,"['bout', '2', '2', 'stool', '9', 'mor', 'shit']"
382,"['ive', 'never', 'sick', 'camp', 'sympathize', 'suck']"
383,"['phew', 'away', 'twitter', 'snow', 'miss']"
384,"['take', 'soul', 'turn', 'life', 'read', 'heart', 'open', 'sight', 'oh', 'soul', 'feel', 'buzz', 'faith']"
385,"['hun', 'sorry', 'today', 'actually', 'sad']"
386,"['poor', 'bulk', 'lincoln', 'tell', 'stop', 'abuse']"
387,['hate']
388,"['talk', '3', 'hour', 'nonstop', 'make', 'phone', 'cuz', 'know', 'need', 'sleep', 'wanna', 'blah', 'ta', 'try', 'night']"
389,"['kid', 'wreck', 'camera', 'sprite']"
390,"['collapse', 'bed', 'peter', 'remote', 'block', 'chocolate', 'cook', 'awesome', 'meal', 'family', 'mom', 'salad']"
391,"['maybe', 'donation', 'page', 'run', 'thought']"
392,"['nippy', 'cold', 'house', 'always', 'cold']"
393,"['wish', 'car', 'need', 'give', 'resume', 'weather', 'horrible']"
394,"['ive', 'blogging', 'much', 'wish', 'could', 'busy', 'pregnant']"
395,"['talk', 'one', 'wit', 'mean']"
396,"['english', 'essay']"
397,"['suck', 'someone', 'film']"
398,"['yes', '267', 'oh', 'everything', 'alright']"
399,"['another', 'twitter', 'app', 'berry', 'besides', 'freeze', 'phone']"
400,"['yay', 'new', 'reader', 'cant', 'resist', 'story']"
401,['thank']
